,symbol,profile
sector,BR,Industrials
website,BR,http://www.broadridge.com
ceo,CHRW,John P. Wiehoff
companyName,CHRW,C.H. Robinson Worldwide Inc.
description,CHRW,C.H. Robinson Worldwide Inc is a non-asset-based third-party logistics provider. The company provides domestic freight brokerage services. It also operates a growing air and ocean forwarding unit and a legacy produce-sourcing operation.
exchange,CHRW,Nasdaq Global Select
industry,CHRW,Transportation & Logistics
sector,CHRW,Industrials
website,CHRW,http://www.chrobinson.com
ceo,COG,Dan O. Dinges
companyName,COG,Cabot Oil & Gas Corporation
description,COG,Cabot Oil & Gas Corp is an independent oil and gas company engaged in the development and exploration of oil and gas properties located in North America.
exchange,COG,New York Stock Exchange
industry,COG,Oil & Gas - E&P
sector,COG,Energy
website,COG,http://www.cabotog.com
ceo,CDNS,Lip-Bu Tan
companyName,CDNS,Cadence Design Systems Inc.
description,CDNS,"Cadence Design Systems Inc develops system design enablement solutions that are used to design whole electronics systems, complex integrated circuits, and electronic devices. The firm provides maintenance services for its software, hardware, and others."
exchange,CDNS,Nasdaq Global Select
industry,CDNS,Application Software
sector,CDNS,Technology
website,CDNS,http://www.cadence.com
ceo,CPB,Denise M. Morrison
companyName,CPB,Campbell Soup Company
description,CPB,"Campbell Soup Co operates in the packaged foods industry. The products within its scope include meals and beverages, biscuits and snacks."
exchange,CPB,New York Stock Exchange
industry,CPB,Consumer Packaged Goods
sector,CPB,Consumer Defensive
website,CPB,http://www.campbellsoupcompany.com
ceo,COF,Richard D. Fairbank
companyName,COF,Capital One Financial Corporation
description,COF,"Capital One Financial Corp operates in the financial domain. Through its banking and non-banking subsidiaries, it markets financial products and services."
exchange,COF,New York Stock Exchange
industry,COF,Credit Services
sector,COF,Financial Services
website,COF,http://www.capitalone.com
ceo,CAH,
companyName,CAH,Cardinal Health Inc.
description,CAH,"Cardinal Health Inc is a healthcare services company. It provides services and products for hospital systems, pharmacies, ambulatory surgery centers, clinical laboratories and physician offices."
exchange,CAH,New York Stock Exchange
industry,CAH,Medical Distribution
sector,CAH,Healthcare
website,CAH,http://www.cardinal.com
ceo,KMX,
companyName,KMX,CarMax Inc
description,KMX,CarMax Inc is engaged in the automobile dealership business. Its services involve selling vehicles which includes both used and new vehicles.
exchange,KMX,New York Stock Exchange
industry,KMX,Autos
sector,KMX,Consumer Cyclical
website,KMX,http://www.carmax.com
ceo,CCL,Arnold W. Donald
companyName,CCL,Carnival Corporation
description,CCL,"Carnival Corp is leisure travel company providing vacations to major cruise destinations across the world. It operates over 100 cruise ships brands including Carnival Cruise Lines, Holland America, Princess Cruise, Seabourn and fathom, and Cunard Line."
exchange,CCL,New York Stock Exchange
industry,CCL,Travel & Leisure
sector,CCL,Consumer Cyclical
website,CCL,http://www.carnivalcorp.com
ceo,CAT,D. James Umpleby
companyName,CAT,Caterpillar Inc.
description,CAT,"Caterpillar Inc caters to the farming industry in the United States. It manufactures construction & mining equipment, diesel & natural gas engines, industrial gas turbines and diesel-electric locomotives."
exchange,CAT,New York Stock Exchange
industry,CAT,Farm & Construction Machinery
sector,CAT,Industrials
website,CAT,http://www.caterpillar.com
ceo,CBOE,Edward Tilly
companyName,CBOE,Cboe Global Markets Inc.
description,CBOE,"Cboe Global Markets Inc is an exchange holding company. It offers trading options on various market indexes, futures, U.S. and European equities, exchange-traded products, and multi-asset volatility products."
exchange,CBOE,Nasdaq Global Select
industry,CBOE,Brokers & Exchanges
sector,CBOE,Financial Services
website,CBOE,http://www.cboe.com
ceo,CBRE,Robert E. Sulentic
companyName,CBRE,CBRE Group Inc Class A
description,CBRE,"CBRE Group Inc is a commercial real estate services and investment firm. It offers services including facilities management, property management, transaction management and strategic consulting."
exchange,CBRE,New York Stock Exchange
industry,CBRE,Real Estate Services
sector,CBRE,Real Estate
website,CBRE,http://www.cbre.com
ceo,CBS,Leslie Moonves
companyName,CBS,CBS Corporation Class B
description,CBS,"CBS Corp is a media company. It operates businesses within the media and entertainment industries, including cable networks, content production and distribution, television and radio stations, Internet-based businesses, and consumer publishing."
exchange,CBS,New York Stock Exchange
industry,CBS,Entertainment
sector,CBS,Consumer Cyclical
website,CBS,http://www.cbscorporation.com
ceo,CDW,Thomas E. Richards
companyName,CDW,CDW Corporation
description,CDW,"CDW Corp provides IT solutions to small, medium and large business, government, education and healthcare customers in the U.S. and Canada, and the UK. Its offerings include mobility, security, and data center optimization."
exchange,CDW,Nasdaq Global Select
industry,CDW,Application Software
sector,CDW,Technology
website,CDW,http://www.cdw.com
ceo,CE,Mark C. Rohr
companyName,CE,Celanese Corporation Series A
description,CE,Celanese Corp is a chemical producer. It focus is to produce industrial specialties and acetyl which are used in various end markets including coatings and adhesives. It also produces cellulose derivatives.
exchange,CE,New York Stock Exchange
industry,CE,Chemicals
sector,CE,Basic Materials
website,CE,http://www.celanese.com
ceo,CNC,Michael F. Neidorff
companyName,CNC,Centene Corporation
description,CNC,"Centene Corp offers healthcare plans to United States government sponsored healthcare programs. The company primarily focuses on uninsured individuals and helps them access care facilities, and social services through government subsidized programs."
exchange,CNC,New York Stock Exchange
industry,CNC,Health Care Plans
sector,CNC,Healthcare
website,CNC,http://www.centene.com
ceo,CNP,Scott M. Prochazka
companyName,CNP,CenterPoint Energy Inc (Holding Co)
description,CNP,CenterPoint Energy Inc owns and operates a portfolio of energy-related businesses. The company primarily provides transmission and distribution services and has natural gas distribution systems in the United States.
exchange,CNP,New York Stock Exchange
industry,CNP,Utilities - Regulated
sector,CNP,Utilities
website,CNP,http://www.centerpointenergy.com
ceo,CTL,Glen F. Post
companyName,CTL,CenturyLink Inc.
description,CTL,"CenturyLink Inc operates as a telecommunications company in the United States. It provides broadband, voice and wireless services to consumers and businesses across the country."
exchange,CTL,New York Stock Exchange
industry,CTL,Communication Services
sector,CTL,Communication Services
website,CTL,http://www.centurylink.com
ceo,CERN,David Brent Shafer
companyName,CERN,Cerner Corporation
description,CERN,"Cerner Corp is a supplier of healthcare information technology and offers software, professional services, medical device integration, remote hosting and employer health, and wellness services. The Domestic segment generates maximum revenue."
exchange,CERN,Nasdaq Global Select
industry,CERN,Application Software
sector,CERN,Technology
website,CERN,http://www.cerner.com
ceo,CF,W. Anthony Will
companyName,CF,CF Industries Holdings Inc.
description,CF,"CF Industries Holdings Inc is a leading producer and distributor of nitrogen fertilizers. The company operates various nitrogen facilities in America UK, and Canada. It primarily serves the international agriculture sector."
exchange,CF,New York Stock Exchange
industry,CF,Agriculture
sector,CF,Basic Materials
website,CF,http://www.cfindustries.com
ceo,SCHW,Walter W. Bettinger
companyName,SCHW,Charles Schwab Corporation (The)
description,SCHW,"Charles Schwab Corp through its subsidiaries provides retail brokerage and banking, retirement plan, and other corporate brokerage services. The company's operating business segments are Investor Services and Advisor Services."
exchange,SCHW,New York Stock Exchange
industry,SCHW,Brokers & Exchanges
sector,SCHW,Financial Services
website,SCHW,http://www.aboutschwab.com
ceo,CHTR,Thomas M. Rutledge
companyName,CHTR,Charter Communications Inc.
description,CHTR,"Charter Communications Inc is a providers of cable services in the United States. The company offers entertainment, information and communications solutions to residential and commercial customers."
exchange,CHTR,Nasdaq Global Select
industry,CHTR,Communication Services
sector,CHTR,Communication Services
website,CHTR,http://www.charter.com
ceo,CVX,John S. Watson
companyName,CVX,Chevron Corporation
description,CVX,"Chevron Corp engages in the exploration, production, and refining operations worldwide. Its oil refineries are spread across the United States, South Africa, and Asia with an approximate capacity of 2 million barrels of oil a day."
exchange,CVX,New York Stock Exchange
industry,CVX,Oil & Gas - Integrated
sector,CVX,Energy
website,CVX,http://www.chevron.com
ceo,CMG,
companyName,CMG,Chipotle Mexican Grill Inc.
description,CMG,"Chipotle Mexican Grill Inc together with its subsidiaries operates Chipotle Mexican Grill restaurants, which serves a menu of burritos, tacos, burrito bowls and salads, made using fresh ingredients."
exchange,CMG,New York Stock Exchange
industry,CMG,Restaurants
sector,CMG,Consumer Cyclical
website,CMG,http://www.chipotle.com
ceo,CB,Evan G. Greenberg
companyName,CB,Chubb Limited
description,CB,"Chubb Ltd provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance (A&H), reinsurance and life insurance to a diverse group of clients."
exchange,CB,New York Stock Exchange
industry,CB,Insurance - Property & Casualty
sector,CB,Financial Services
website,CB,http://www.chubb.com
